task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
14	b7/dad623	21626.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:MINIMAP2_INDEX (primary)	COMPLETED	0	2026-02-10 14:47:57.144	49.9s	43s	153.3%	8.5 GB	9.5 GB	1.4 GB	3.4 GB
12	56/a04d5e	21622.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-10 14:47:57.000	2m 45s	2m 38s	99.7%	10.4 MB	14.3 MB	1.4 GB	324.3 MB
11	a7/915d33	21624.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-10 14:47:57.073	2m 50s	2m 44s	100.1%	10.4 MB	14.3 MB	1.4 GB	336.7 MB
20	04/710de0	21628.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	COMPLETED	0	2026-02-10 14:50:47.125	14.6s	12.5s	100.7%	39 MB	50.6 MB	337.1 MB	96 KB
22	7f/309258	21627.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap2)	COMPLETED	0	2026-02-10 14:50:47.086	14.7s	12.1s	100.8%	38.8 MB	50.6 MB	324.7 MB	60.8 KB
13	d7/a61c98	21621.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_SPLITFA (primary)	COMPLETED	0	2026-02-10 14:47:56.964	4m 35s	4m 28s	101.3%	33.1 MB	44.5 MB	2.8 GB	1.8 GB
19	39/104bac	21630.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	COMPLETED	0	2026-02-10 14:50:47.201	4m 30s	4m 28s	108.1%	1.7 GB	2 GB	324.4 MB	355.8 MB
17	92/447880	21629.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	COMPLETED	0	2026-02-10 14:50:47.166	4m 40s	4m 37s	107.9%	1.9 GB	2.2 GB	336.8 MB	369.4 MB
15	70/68a06d	21623.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_PYFASTXINDEX (D_org_PB.fastq.gz)	COMPLETED	0	2026-02-10 14:47:57.038	8m 30s	8m 25s	100.0%	1.5 GB	1.5 GB	38.8 GB	1.8 GB
23	d4/f955da	21634.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:MINIMAP2_ALIGN_ASSEMBLY (primary)	COMPLETED	0	2026-02-10 14:52:31.859	6m 45s	6m 42s	1200.5%	23.6 GB	26.7 GB	1.1 GB	14 GB
16	1a/b436fb	21633.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:MERQURYFK_MERQURYFK (primary)	COMPLETED	0	2026-02-10 14:50:47.330	19m 50s	19m 40s	512.0%	11.2 GB	16.6 GB	241.3 GB	89.6 GB
21	2c/1f184f	21632.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	COMPLETED	0	2026-02-10 14:50:47.287	27m 35s	27m 25s	1474.7%	10.6 GB	290.7 GB	15.4 GB	11.1 GB
18	b5/9bb3eb	21631.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap1)	COMPLETED	0	2026-02-10 14:50:47.238	28m 45s	28m 31s	1473.3%	12.7 GB	292.4 GB	15.9 GB	11.6 GB
26	65/ba67a7	21635.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-10 14:56:26.895	51m 20s	51m 14s	1890.0%	11.5 GB	12.9 GB	130.6 GB	16.1 GB
24	b9/b782cc	21636.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-10 14:56:26.945	51m 40s	51m 34s	1889.9%	11.5 GB	12.9 GB	136 GB	16.7 GB
25	68/e67fcf	21637.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:FASTX_MAP_LONG_READS:FASTXALIGN_MINIMAP2ALIGN (primary)	COMPLETED	0	2026-02-10 14:56:26.987	52m 10s	52m 6s	1892.3%	11.7 GB	13.2 GB	135.6 GB	16.7 GB
27	99/b246da	21640.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_PBCSTAT (primary)	COMPLETED	0	2026-02-10 15:48:37.234	14.7s	4s	96.9%	18.8 MB	25 MB	107.7 MB	57.7 MB
28	60/96c60c	21641.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_CALCUTS (primary)	COMPLETED	0	2026-02-10 15:48:52.079	9.9s	0ms	133.5%	0	0	75.9 KB	426 B
30	7d/43093f	21643.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_HISTPLOT (primary)	COMPLETED	0	2026-02-10 15:49:02.070	9.9s	1s	2541.7%	98.7 MB	16.5 GB	20.3 MB	109.1 KB
29	4c/9ab9cb	21642.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_PURGEDUPS (primary)	COMPLETED	0	2026-02-10 15:49:02.035	1m 15s	1m 7s	100.0%	2.6 GB	3.6 GB	14.1 GB	323.4 KB
31	76/7518b9	21644.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:PURGEDUPS_GETSEQS (primary)	COMPLETED	0	2026-02-10 15:50:17.038	9.9s	3s	99.0%	96.2 MB	130.8 MB	1.4 GB	1.4 GB
33	e8/22d2b3	21646.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:PURGING:CONCATENATE_HAPLOTYPES (primary)	COMPLETED	0	2026-02-10 15:50:27.078	14.9s	10s	100.2%	3.5 MB	15.6 MB	2.1 GB	2.1 GB
44	42/de3b4f	-	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_GENCRAMCHUNKS (1)	COMPLETED	-	2026-02-10 15:50:42.027	383ms	291ms	-	-	-	-	-
45	02/d7a1c2	-	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_GENCRAMCHUNKS (2)	COMPLETED	-	2026-02-10 15:50:42.029	382ms	291ms	-	-	-	-	-
43	72/8288ee	21652.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurGra_Og.cram)	COMPLETED	0	2026-02-10 15:50:42.229	4.8s	0ms	90.1%	3.1 MB	4.3 MB	285.2 KB	7.7 KB
42	3f/30e5e2	21654.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurGra_Og.cram)	COMPLETED	0	2026-02-10 15:50:42.298	4.7s	0ms	119.6%	3.1 MB	4.3 MB	285.2 KB	7.7 KB
39	7b/345e45	21651.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_FAIDX (primary_hap1)	COMPLETED	0	2026-02-10 15:50:42.197	4.8s	2s	100.7%	6.1 MB	10.7 MB	673.1 MB	20.2 KB
40	71/138e05	21656.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_CONTIGS (asm.purged.fa)	COMPLETED	0	2026-02-10 15:50:42.434	4.6s	2s	99.9%	6.1 MB	10.7 MB	673.1 MB	20.1 KB
36	08/63f9e7	21650.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_FAIDX (primary_hap2)	COMPLETED	0	2026-02-10 15:50:42.152	9.8s	6s	100.3%	6.3 MB	11 MB	2.1 GB	105.1 KB
37	95/3d6aba	21655.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_CONTIGS (asm.htigs.all.fa)	COMPLETED	0	2026-02-10 15:50:42.330	9.7s	7s	100.0%	6.1 MB	10.8 MB	2.1 GB	105 KB
32	ba/0ab63a	21645.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_HAPLOTIGS (primary)	COMPLETED	0	2026-02-10 15:50:27.039	1m 25s	1m 22s	100.1%	10.4 MB	14.3 MB	763.3 MB	170.9 MB
34	06/ee24dc	21648.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-10 15:50:42.076	1m 25s	1m 21s	100.0%	10.1 MB	14.3 MB	673.1 MB	165.8 MB
35	64/90237e	21647.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-10 15:50:42.032	4m	3m 57s	100.0%	10.4 MB	14.3 MB	2.1 GB	495.2 MB
46	a5/183220	21658.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	COMPLETED	0	2026-02-10 15:54:42.098	9.9s	6.1s	99.2%	39 MB	50.4 MB	166.2 MB	23.8 KB
